session_id,user_id,started_at,problem_domain,final_status,is_ai_first,ai_requests,ai_responses,first_ai_at,time_to_ai_seconds,attempt_effort_score,verification_count,verification_rate,unnecessary_ai_use_flag,no_ai_completion,evaluation_completed,attempt_skipped,quality_flags,excluded,prior_7d_ai_requests
c66c55ef-1c58-4f3b-bf2d-69dd41d1b74d,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:14:04.342017+00:00,math,solved_with_ai,False,1,1,2026-09-14T18:14:04.446376+00:00,0.104359,0.03309255166666667,1,1.0,,False,True,False,[],False,0
38748da7-9fb5-4d59-81cc-29f9d751059d,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:14:04.662152+00:00,math,solved_with_ai,True,1,1,2026-09-14T18:14:04.767668+00:00,0.105516,0.0,0,0.0,,False,False,True,[],False,1
7e46a909-8059-465b-8a41-b50e64643f4a,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:14:04.928051+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,2
5a71cd03-ee7c-49e9-9979-3a5a592dd91e,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:14:05.030691+00:00,math,open,False,0,0,,,0.003060295,0,,,False,False,False,['incomplete_session'],False,2
2dfa60d4-8da3-491b-a85a-80603d908d9b,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:14:05.212815+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,2
c516c856-21ec-45fd-b7aa-1fbbd2ad8c62,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:14:05.262696+00:00,math,abandoned,True,1,0,2026-09-14T18:14:05.295941+00:00,0.033245,0.0,0,,,False,False,True,['no_ai_response'],False,2
69908088-292e-4779-a2fd-bcf17e433391,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:14:05.428853+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,3
677fc601-1d86-44f3-bac6-900d6b468b1f,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:16:06.927302+00:00,general_reasoning,solved_independently,False,0,0,,,0.07354391333333334,0,,,True,False,False,[],False,3
94d78692-1037-4bdd-9a3c-82592e468954,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:16:08.383548+00:00,general_reasoning,solved_independently,False,0,0,,,0.05053801166666667,0,,,True,False,False,[],False,3
eb074089-72bf-4794-ba5b-a438fcd73d74,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:16:12.077227+00:00,general_reasoning,open,True,1,0,2026-09-14T18:16:12.493119+00:00,0.415892,0.0,0,,,False,False,True,"['no_ai_response', 'incomplete_session']",False,3
c3313d82-924e-48f9-95f5-652706c102d3,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:16:48.046820+00:00,general_reasoning,abandoned,True,1,0,2026-09-14T18:16:48.306446+00:00,0.259626,0.0,0,,,False,False,True,['no_ai_response'],False,4
653b34e5-2a53-421f-b7ab-258c422548b1,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:19:27.791705+00:00,math,solved_with_ai,False,1,1,2026-09-14T18:19:27.835260+00:00,0.043555,0.033047356666666666,1,1.0,,False,True,False,[],False,5
fd85663e-0745-4d07-9b86-c495ddfac880,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:19:27.962463+00:00,math,solved_with_ai,True,1,1,2026-09-14T18:19:28.010812+00:00,0.048349,0.0,0,0.0,,False,False,True,[],False,6
da757f90-378b-4861-9802-6de001a499d4,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:19:28.092497+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,7
7bd31ffb-32c2-4833-b246-ffb69a4eb479,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:19:28.158817+00:00,math,open,False,0,0,,,0.003026165,0,,,False,False,False,['incomplete_session'],False,7
10c74306-0262-43b4-b016-0e6aa72f57ba,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:19:28.224358+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,7
acfd1af2-85f4-4625-9bcb-824cd24e8dcf,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:19:28.275107+00:00,math,abandoned,True,1,0,2026-09-14T18:19:28.324725+00:00,0.049618,0.0,0,,,False,False,True,['no_ai_response'],False,7
f93dab4c-4342-498e-b26f-19b2cfe9766f,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:19:28.426021+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,8
f20d26db-544b-4837-b116-27326c41a25e,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:00.615583+00:00,math,solved_with_ai,False,1,1,2026-09-14T18:22:00.733772+00:00,0.118189,0.03311864666666667,1,1.0,,False,True,False,[],False,8
c027a233-e9b5-4456-9156-eabb76290ddf,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:00.919096+00:00,math,solved_with_ai,True,1,1,2026-09-14T18:22:01.027148+00:00,0.108052,0.0,0,0.0,,False,False,True,[],False,9
8a2aa2cd-f005-47b4-be3e-75fc673d1975,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:01.167728+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,10
d2f206e2-520b-4f2b-9926-fc3e4a2e9a1a,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:01.267724+00:00,math,open,False,0,0,,,0.0030287383333333336,0,,,False,False,False,['incomplete_session'],False,10
86f2f938-1fcb-4b5c-8fe2-009bc13ad213,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:01.409202+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,10
28e5a66d-286b-4b1f-bb68-9edeb8a8eeb5,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:01.528435+00:00,math,abandoned,True,1,0,2026-09-14T18:22:01.565236+00:00,0.036801,0.0,0,,,False,False,True,['no_ai_response'],False,10
a2e824c6-321c-4070-bdaa-06a88aa007e3,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:01.712930+00:00,math,open,False,0,0,,,0.0,0,,,False,False,False,['incomplete_session'],False,11
82b35c4d-5f19-4c74-9204-a8991add5c35,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:01.879338+00:00,math,solved_with_ai,True,3,3,2026-09-14T18:22:01.965531+00:00,0.086193,0.0,0,0.0,,False,False,True,[],False,11
7ec76c88-63b8-4989-bf54-698242d53aaf,a0e0ba47-b204-4e3d-97f9-29b5eeb51c10,2026-09-14T18:22:02.566356+00:00,math,open,False,0,0,,,0.016090368333333334,0,,,False,False,False,['incomplete_session'],False,14
